_3eme_filles;qp_a_proximite_o_n;nb_candidats_g;taux_de_reussite_g;nb_mentions_tb_g;taux_d_acces_6eme_3eme
40;Dans QP         ;63;81.0;15;92.0
69;Dans QP+200m    ;119;82.0;6;88.0
69;Dans QP+200m    ;136;81.0;37;90.0
65;Hors QP         ;105;83.0;12;87.0
65;Hors QP         ;78;78.0;5;81.0
87;Hors QP         ;171;82.0;18;94.0
87;Hors QP         ;159;86.0;29;92.0
105;Dans QP+200m    ;220;90.0;46;94.0
105;Dans QP+200m    ;230;90.0;64;92.0
62;Hors QP         ;128;78.0;35;86.0
62;Hors QP         ;95;81.0;24;93.0
36;Dans QP         ;88;90.0;21;83.0
36;Dans QP         ;69;80.0;9;95.0
41;Dans QP+200m    ;78;76.0;20;86.0
41;Dans QP+200m    ;98;91.0;37;86.0
60;Dans QP+200m    ;110;77.0;26;93.0
60;Dans QP+200m    ;124;77.0;33;91.0
59;Dans QP         ;97;73.0;7;81.0
59;Dans QP         ;103;73.0;7;83.0
44;Dans QP+200m    ;80;86.0;20;94.0
44;Dans QP+200m    ;90;91.0;27;86.0
43;Dans QP         ;60;67.0;4;89.0
43;Dans QP         ;62;63.0;4;77.0
40;Dans QP+200m    ;67;75.0;16;91.0
40;Dans QP+200m    ;71;86.0;15;90.0
55;Dans QP         ;79;85.0;14;95.0
55;Dans QP         ;82;72.0;9;88.0
67;Dans QP+200-300m;104;80.0;15;88.0
67;Dans QP+200-300m;101;92.0;18;89.0
55;Hors QP         ;71;94.0;23;96.0
55;Hors QP         ;98;86.0;33;96.0
52;Dans QP+200m    ;71;73.0;8;81.0
52;Dans QP+200m    ;86;90.0;10;76.0
61;Hors QP         ;120;63.0;14;89.0
61;Hors QP         ;108;79.0;13;84.0
34;Hors QP         ;66;79.0;12;95.0
34;Hors QP         ;78;90.0;16;93.0
80;Dans QP+200m    ;112;88.0;14;92.0
80;Dans QP+200m    ;126;82.0;22;92.0
51;Dans QP         ;74;96.0;7;81.0
51;Dans QP         ;88;80.0;8;84.0
67;Dans QP+200m    ;111;94.0;22;94.0
67;Dans QP+200m    ;107;98.0;33;93.0
55;Dans QP+200m    ;88;81.0;15;96.0
55;Dans QP+200m    ;78;99.0;24;93.0
73;Dans QP+200m    ;137;85.0;18;91.0
73;Dans QP+200m    ;132;95.0;37;92.0
69;Dans QP         ;152;93.0;21;91.0
69;Dans QP         ;150;89.0;33;90.0
80;Dans QP+200m    ;133;83.0;23;94.0
80;Dans QP+200m    ;150;91.0;35;92.0
76;Dans QP         ;150;80.0;20;92.0
76;Dans QP         ;147;83.0;27;86.0
106;Dans QP         ;174;80.0;28;95.0
106;Dans QP         ;176;73.0;16;90.0
70;Dans QP+200m    ;121;75.0;24;91.0
70;Dans QP+200m    ;121;76.0;25;94.0
84;Dans QP+200-300m;157;75.0;22;93.0
84;Dans QP+200-300m;126;76.0;16;91.0
84;Dans QP+200m    ;134;87.0;12;91.0
84;Dans QP+200m    ;150;87.0;29;92.0
71;Dans QP+200m    ;155;75.0;16;93.0
71;Dans QP+200m    ;113;77.0;19;93.0
85;Dans QP+200-300m;106;89.0;24;92.0
85;Dans QP+200-300m;144;88.0;32;91.0
72;Dans QP+200m    ;114;91.0;20;93.0
72;Dans QP+200m    ;128;86.0;31;91.0
72;Dans QP+200m    ;110;96.0;33;90.0
72;Dans QP+200m    ;98;90.0;19;89.0
73;Dans QP+200m    ;163;90.0;41;89.0
73;Dans QP+200m    ;167;89.0;55;93.0
88;Dans QP+200-300m;151;70.0;13;92.0
88;Dans QP+200-300m;155;83.0;18;91.0
39;Dans QP+200-300m;108;82.0;25;90.0
39;Dans QP+200-300m;83;88.0;15;82.0
45;Dans QP         ;92;79.0;4;90.0
45;Dans QP         ;85;75.0;5;92.0
112;Dans QP         ;160;81.0;26;86.0
112;Dans QP         ;161;87.0;29;92.0
61;Dans QP         ;128;61.0;14;96.0
61;Dans QP         ;131;80.0;22;89.0
64;Dans QP+200m    ;107;85.0;15;92.0
64;Dans QP+200m    ;126;90.0;27;87.0
79;Hors QP         ;162;86.0;19;93.0
79;Hors QP         ;187;76.0;29;86.0
81;Dans QP         ;142;81.0;24;97.0
81;Dans QP         ;139;73.0;11;94.0
76;Dans QP+200-300m;166;65.0;26;92.0
76;Dans QP+200-300m;136;78.0;27;96.0
73;Hors QP         ;121;89.0;15;95.0
73;Hors QP         ;139;86.0;22;93.0
55;Dans QP         ;85;60.0;11;89.0
55;Dans QP         ;88;85.0;12;85.0
99;Dans QP+200-300m;169;83.0;40;89.0
99;Dans QP+200-300m;196;84.0;46;88.0
56;Dans QP+200m    ;84;90.0;11;96.0
56;Dans QP+200m    ;92;77.0;10;99.0
48;Dans QP         ;86;78.0;14;97.0
48;Dans QP         ;87;84.0;14;90.0
105;Dans QP+200-300m;192;90.0;56;94.0
105;Dans QP+200-300m;196;95.0;69;96.0
68;Dans QP+200m    ;126;79.0;19;93.0
68;Dans QP+200m    ;117;78.0;15;92.0
61;Hors QP         ;118;86.0;29;94.0
61;Hors QP         ;121;83.0;25;98.0
49;Dans QP+200m    ;111;79.0;17;94.0
49;Dans QP+200m    ;130;82.0;21;88.0
55;Hors QP         ;93;88.0;8;88.0
55;Hors QP         ;119;76.0;12;90.0
55;Hors QP         ;98;78.0;29;94.0
55;Hors QP         ;92;84.0;32;91.0
47;Dans QP         ;88;95.0;31;90.0
47;Dans QP         ;93;95.0;32;96.0
57;Hors QP         ;118;75.0;18;88.0
57;Hors QP         ;109;68.0;19;86.0
48;Dans QP         ;85;76.0;22;94.0
48;Dans QP         ;90;87.0;25;85.0
42;Dans QP+200-300m;89;78.0;17;92.0
42;Dans QP+200-300m;89;81.0;25;91.0
60;Dans QP         ;80;90.0;22;87.0
60;Dans QP         ;80;78.0;13;88.0
49;Dans QP+200-300m;106;87.0;29;97.0
49;Dans QP+200-300m;111;95.0;42;90.0
39;Dans QP+200m    ;89;89.0;18;96.0
39;Dans QP+200m    ;85;80.0;18;89.0
37;Dans QP+200m    ;83;96.0;24;90.0
37;Dans QP+200m    ;97;88.0;23;92.0
102;Dans QP+200m    ;125;77.0;15;92.0
102;Dans QP+200m    ;177;76.0;21;93.0
64;Dans QP         ;115;80.0;23;87.0
64;Dans QP         ;111;83.0;23;84.0
63;Dans QP+200-300m;129;91.0;30;94.0
63;Dans QP+200-300m;127;82.0;24;94.0
74;Dans QP+200-300m;93;91.0;13;94.0
74;Dans QP+200-300m;115;90.0;18;95.0
89;Hors QP         ;137;68.0;17;88.0
89;Hors QP         ;131;86.0;13;92.0
94;Dans QP+200m    ;159;88.0;26;83.0
94;Dans QP+200m    ;142;82.0;29;89.0
72;Hors QP         ;143;85.0;27;93.0
72;Hors QP         ;133;88.0;29;86.0
61;Hors QP         ;133;91.0;18;87.0
61;Hors QP         ;116;86.0;22;93.0
42;Dans QP+200m    ;84;83.0;19;88.0
42;Dans QP+200m    ;92;90.0;15;80.0
74;Dans QP+200-300m;147;79.0;25;93.0
74;Dans QP+200-300m;128;85.0;31;97.0
88;Hors QP         ;160;86.0;36;85.0
88;Hors QP         ;129;63.0;19;91.0
82;Hors QP         ;134;75.0;14;92.0
82;Hors QP         ;137;79.0;12;94.0
69;Hors QP         ;123;90.0;23;89.0
69;Hors QP         ;119;87.0;21;91.0
66;Dans QP+200-300m;100;83.0;20;94.0
66;Dans QP+200-300m;103;86.0;8;93.0
84;Dans QP         ;114;81.0;8;87.0
84;Dans QP         ;150;75.0;19;94.0
70;Dans QP+200m    ;139;84.0;20;91.0
70;Dans QP+200m    ;117;85.0;19;94.0
82;Dans QP+200m    ;136;87.0;31;93.0
82;Dans QP+200m    ;155;83.0;17;96.0
54;Dans QP         ;85;81.0;14;84.0
54;Dans QP         ;85;96.0;17;90.0
30;Dans QP         ;72;76.0;7;88.0
30;Dans QP         ;85;78.0;3;95.0
69;Dans QP+200-300m;140;88.0;17;95.0
69;Dans QP+200-300m;132;90.0;19;94.0
77;Dans QP+200m    ;125;88.0;25;95.0
77;Dans QP+200m    ;131;82.0;29;88.0
50;Dans QP+200m    ;97;92.0;32;93.0
50;Dans QP+200m    ;104;94.0;34;91.0
37;Hors QP         ;49;80.0;7;95.0
37;Hors QP         ;48;75.0;5;94.0
68;Hors QP         ;95;75.0;13;94.0
68;Hors QP         ;99;72.0;19;96.0
85;Dans QP+200m    ;148;80.0;16;92.0
85;Dans QP+200m    ;148;83.0;27;94.0
82;Dans QP+200m    ;127;83.0;22;94.0
82;Dans QP+200m    ;89;85.0;16;91.0
74;Dans QP+200m    ;125;82.0;21;90.0
74;Dans QP+200m    ;115;77.0;19;89.0
77;Dans QP+200m    ;90;88.0;27;93.0
77;Dans QP+200m    ;108;90.0;25;96.0
82;Hors QP         ;100;82.0;19;91.0
82;Hors QP         ;106;78.0;22;89.0
116;Hors QP         ;178;74.0;26;89.0
116;Hors QP         ;194;74.0;34;89.0
61;Hors QP         ;88;84.0;12;88.0
61;Hors QP         ;101;96.0;26;90.0
90;Dans QP+200m    ;144;62.0;17;93.0
90;Dans QP+200m    ;128;75.0;13;93.0
88;Hors QP         ;126;97.0;44;89.0
88;Hors QP         ;111;100.0;18;95.0
112;Hors QP         ;188;89.0;51;93.0
112;Hors QP         ;172;83.0;27;88.0
93;Dans QP+200m    ;126;81.0;26;86.0
93;Dans QP+200m    ;143;86.0;35;89.0
36;Hors QP         ;65;89.0;12;91.0
36;Hors QP         ;65;88.0;11;86.0
76;Dans QP         ;130;78.0;28;89.0
76;Dans QP         ;129;84.0;33;88.0
59;Hors QP         ;84;69.0;11;88.0
59;Hors QP         ;85;82.0;9;85.0
41;Hors QP         ;73;92.0;5;94.0
41;Hors QP         ;89;91.0;7;85.0
41;Dans QP+200m    ;83;81.0;9;87.0
41;Dans QP+200m    ;80;84.0;9;90.0
38;Dans QP+200m    ;52;88.0;7;90.0
38;Dans QP+200m    ;59;78.0;4;91.0
113;Hors QP         ;209;70.0;10;92.0
113;Hors QP         ;210;63.0;9;94.0
125;Hors QP         ;125;88.0;19;92.0
125;Hors QP         ;167;95.0;14;93.0
167;Hors QP         ;248;72.0;10;93.0
167;Hors QP         ;299;39.0;8;95.0
62;Dans QP+200m    ;147;67.0;10;92.0
62;Dans QP+200m    ;118;76.0;27;84.0
71;Hors QP         ;111;74.0;24;90.0
71;Hors QP         ;110;68.0;20;96.0
80;Dans QP+200m    ;115;86.0;27;88.0
80;Dans QP+200m    ;122;86.0;36;89.0
74;Dans QP+200m    ;89;79.0;18;91.0
74;Dans QP+200m    ;99;83.0;34;93.0
57;Dans QP         ;94;90.0;21;89.0
57;Dans QP         ;77;81.0;17;90.0
62;Hors QP         ;95;76.0;23;89.0
62;Hors QP         ;88;81.0;16;82.0
73;Hors QP         ;136;96.0;39;92.0
73;Hors QP         ;147;97.0;36;89.0
51;Dans QP+200-300m;80;70.0;16;87.0
51;Dans QP+200-300m;96;86.0;17;91.0
65;Dans QP+200m    ;105;79.0;19;92.0
65;Dans QP+200m    ;104;74.0;13;93.0
38;Hors QP         ;112;83.0;30;90.0
38;Hors QP         ;104;83.0;31;86.0
56;Dans QP+200m    ;109;83.0;31;90.0
56;Dans QP+200m    ;92;100.0;41;71.0
66;Dans QP         ;137;83.0;37;85.0
66;Dans QP         ;125;76.0;30;89.0
46;Dans QP+200m    ;116;79.0;20;82.0
46;Dans QP+200m    ;103;79.0;19;77.0
57;Hors QP         ;128;91.0;27;94.0
57;Hors QP         ;115;70.0;15;89.0
28;Dans QP+200m    ;60;73.0;10;93.0
28;Dans QP+200m    ;59;86.0;4;85.0
66;Dans QP+200m    ;116;78.0;15;91.0
66;Dans QP+200m    ;104;70.0;15;91.0
72;Dans QP+200m    ;126;79.0;28;91.0
72;Dans QP+200m    ;120;81.0;30;92.0
54;Hors QP         ;106;73.0;15;92.0
54;Hors QP         ;107;78.0;17;88.0
45;Dans QP+200m    ;118;83.0;25;90.0
45;Dans QP+200m    ;86;86.0;23;86.0
28;Dans QP+200-300m;57;89.0;4;92.0
28;Dans QP+200-300m;61;69.0;5;91.0
38;Hors QP         ;97;82.0;14;91.0
38;Hors QP         ;80;89.0;19;87.0
33;Dans QP+200m    ;50;92.0;17;85.0
33;Dans QP+200m    ;61;92.0;12;79.0
75;Dans QP+200m    ;139;78.0;27;88.0
75;Dans QP+200m    ;156;74.0;28;85.0
57;Dans QP         ;131;87.0;23;85.0
57;Dans QP         ;128;89.0;12;83.0
52;Hors QP         ;102;87.0;18;92.0
52;Hors QP         ;147;95.0;52;91.0
33;Hors QP         ;71;90.0;28;92.0
33;Hors QP         ;68;74.0;12;85.0
55;Hors QP         ;107;79.0;24;92.0
55;Hors QP         ;108;83.0;40;93.0
62;Dans QP+200m    ;130;79.0;31;90.0
62;Dans QP+200m    ;105;84.0;27;84.0
38;Dans QP+200m    ;50;88.0;7;97.0
38;Dans QP+200m    ;50;74.0;10;91.0
56;Hors QP         ;110;84.0;17;94.0
56;Hors QP         ;104;81.0;11;95.0
36;Dans QP+200m    ;82;84.0;24;92.0
36;Dans QP+200m    ;72;93.0;20;93.0
70;Hors QP         ;76;79.0;8;88.0
70;Hors QP         ;104;77.0;11;82.0
70;Hors QP         ;95;82.0;18;87.0
70;Hors QP         ;89;79.0;25;79.0
62;Dans QP+200-300m;161;91.0;56;91.0
62;Dans QP+200-300m;134;95.0;46;91.0
29;Dans QP+200m    ;54;87.0;13;86.0
29;Dans QP+200m    ;59;83.0;5;91.0
25;Dans QP+200m    ;61;77.0;5;78.0
25;Dans QP+200m    ;62;100.0;14;90.0
28;Hors QP         ;63;87.0;10;88.0
28;Hors QP         ;58;74.0;19;80.0
41;Hors QP         ;63;92.0;22;96.0
41;Hors QP         ;67;76.0;15;87.0
49;Hors QP         ;87;74.0;20;93.0
49;Hors QP         ;141;67.0;22;90.0
79;Dans QP+200m    ;119;63.0;25;93.0
79;Dans QP+200m    ;110;85.0;21;94.0
39;Dans QP+200m    ;64;91.0;19;94.0
39;Dans QP+200m    ;78;71.0;7;92.0
49;Dans QP         ;90;74.0;14;85.0
49;Dans QP         ;84;95.0;8;81.0
69;Dans QP+200m    ;113;73.0;10;89.0
69;Dans QP+200m    ;110;69.0;14;93.0
86;Dans QP+200m    ;148;61.0;8;89.0
86;Dans QP+200m    ;122;77.0;11;88.0
69;Dans QP         ;87;93.0;8;95.0
69;Dans QP         ;92;95.0;12;97.0
85;Dans QP         ;150;93.0;38;86.0
85;Dans QP         ;154;86.0;28;90.0
34;Dans QP+200m    ;64;59.0;8;78.0
34;Dans QP+200m    ;46;89.0;0;61.0
76;Dans QP         ;122;93.0;9;88.0
76;Dans QP         ;119;87.0;14;94.0
153;Dans QP+200m    ;188;83.0;11;82.0
153;Dans QP+200m    ;175;90.0;28;77.0
120;Dans QP+200m    ;153;95.0;26;90.0
120;Dans QP+200m    ;151;93.0;35;87.0
100;Hors QP         ;170;84.0;20;82.0
100;Hors QP         ;170;75.0;7;76.0
117;Dans QP         ;171;88.0;11;87.0
117;Dans QP         ;164;81.0;7;87.0
77;Hors QP         ;128;70.0;4;95.0
77;Hors QP         ;113;85.0;3;93.0
28;Hors QP         ;50;92.0;9;92.0
28;Hors QP         ;57;89.0;6;86.0
97;Hors QP         ;162;70.0;29;86.0
97;Hors QP         ;168;70.0;34;88.0
54;Hors QP         ;107;67.0;20;95.0
54;Hors QP         ;110;68.0;13;94.0
48;Hors QP         ;73;73.0;18;89.0
48;Hors QP         ;63;70.0;19;96.0
66;Dans QP+200m    ;87;79.0;20;81.0
66;Dans QP+200m    ;98;79.0;18;86.0
48;Hors QP         ;83;87.0;24;78.0
48;Hors QP         ;74;81.0;14;85.0
62;Dans QP+200m    ;116;75.0;6;89.0
62;Dans QP+200m    ;130;68.0;6;90.0
84;Dans QP+200m    ;161;78.0;28;92.0
84;Dans QP+200m    ;217;69.0;30;91.0
64;Dans QP+200m    ;109;86.0;13;90.0
64;Dans QP+200m    ;127;89.0;21;90.0
63;Dans QP+200m    ;114;91.0;30;95.0
63;Dans QP+200m    ;114;89.0;21;92.0
26;Hors QP         ;54;83.0;10;90.0
26;Hors QP         ;58;74.0;9;86.0
52;Dans QP+200m    ;82;85.0;12;88.0
52;Dans QP+200m    ;101;85.0;13;82.0
56;Hors QP         ;120;82.0;27;90.0
56;Hors QP         ;114;72.0;15;92.0
39;Dans QP+200m    ;88;83.0;17;95.0
39;Dans QP+200m    ;74;86.0;17;92.0
29;Hors QP         ;69;78.0;6;90.0
29;Hors QP         ;79;67.0;13;93.0
37;Dans QP+200m    ;71;68.0;11;93.0
37;Dans QP+200m    ;80;79.0;18;86.0
51;Dans QP+200-300m;101;78.0;8;86.0
51;Dans QP+200-300m;115;81.0;28;91.0
34;Dans QP+200m    ;68;88.0;6;92.0
34;Dans QP+200m    ;65;78.0;4;81.0
44;Hors QP         ;70;81.0;15;93.0
44;Hors QP         ;70;79.0;10;88.0
28;Hors QP         ;42;93.0;14;90.0
28;Hors QP         ;42;93.0;9;85.0
53;Dans QP+200m    ;72;78.0;20;85.0
53;Dans QP+200m    ;99;78.0;28;83.0
81;Dans QP+200-300m;123;72.0;11;94.0
81;Dans QP+200-300m;124;71.0;6;91.0
60;Dans QP+200m    ;110;79.0;10;94.0
60;Dans QP+200m    ;108;90.0;14;92.0
39;Dans QP+200m    ;71;83.0;14;90.0
39;Dans QP+200m    ;59;83.0;9;94.0
23;Hors QP         ;62;95.0;20;85.0
23;Hors QP         ;55;85.0;22;89.0
44;Dans QP         ;97;73.0;7;81.0
44;Dans QP         ;103;73.0;7;83.0
78;Hors QP         ;135;75.0;28;89.0
78;Hors QP         ;145;78.0;21;91.0
37;Dans QP+200m    ;67;75.0;16;91.0
37;Dans QP+200m    ;71;86.0;15;90.0
64;Dans QP         ;112;92.0;28;94.0
64;Dans QP         ;105;96.0;22;94.0
68;Dans QP+200-300m;108;95.0;34;95.0
68;Dans QP+200-300m;138;99.0;35;96.0
59;Dans QP         ;104;97.0;7;94.0
59;Dans QP         ;102;95.0;28;91.0
56;Dans QP+200m    ;95;86.0;26;88.0
56;Dans QP+200m    ;111;79.0;23;94.0
37;Hors QP         ;76;82.0;10;86.0
37;Hors QP         ;80;84.0;16;88.0
57;Dans QP+200m    ;111;81.0;14;91.0
57;Dans QP+200m    ;95;79.0;16;89.0
44;Hors QP         ;78;91.0;16;86.0
44;Hors QP         ;76;95.0;17;91.0
58;Hors QP         ;99;80.0;21;93.0
58;Hors QP         ;108;90.0;29;93.0
86;Dans QP+200m    ;157;94.0;49;92.0
86;Dans QP+200m    ;155;97.0;54;93.0
56;Dans QP+200m    ;63;94.0;6;92.0
56;Dans QP+200m    ;51;94.0;10;84.0
0;Dans QP         ;134;75.0;26;86.0
0;Dans QP         ;84;81.0;12;86.0
85;Dans QP+200-300m;152;83.0;14;89.0
85;Dans QP+200-300m;137;90.0;26;87.0
61;Dans QP         ;99;80.0;12;88.0
61;Dans QP         ;117;77.0;13;85.0
66;Dans QP+200m    ;155;75.0;16;93.0
66;Dans QP+200m    ;113;77.0;19;93.0
85;Hors QP         ;124;99.0;34;93.0
85;Hors QP         ;130;88.0;27;92.0
64;Dans QP+200m    ;169;84.0;19;91.0
64;Dans QP+200m    ;174;81.0;27;91.0
79;Dans QP+200m    ;132;85.0;28;86.0
79;Dans QP+200m    ;156;86.0;23;87.0
85;Dans QP+200m    ;163;90.0;41;89.0
85;Dans QP+200m    ;167;89.0;55;93.0
62;Dans QP+200m    ;110;75.0;22;93.0
62;Dans QP+200m    ;109;90.0;27;85.0
63;Dans QP+200m    ;127;79.0;14;86.0
63;Dans QP+200m    ;109;79.0;17;88.0
63;Dans QP+200m    ;140;88.0;34;89.0
63;Dans QP+200m    ;130;84.0;15;91.0
59;Dans QP         ;135;81.0;22;93.0
59;Dans QP         ;126;84.0;19;85.0
76;Dans QP+200-300m;155;85.0;32;90.0
76;Dans QP+200-300m;111;88.0;29;89.0
56;Dans QP+200m    ;69;86.0;12;85.0
56;Dans QP+200m    ;78;87.0;11;88.0
80;Dans QP+200-300m;137;87.0;29;94.0
80;Dans QP+200-300m;140;85.0;22;94.0
75;Dans QP+200m    ;132;88.0;20;93.0
75;Dans QP+200m    ;123;78.0;14;88.0
82;Dans QP+200-300m;206;87.0;36;94.0
82;Dans QP+200-300m;208;89.0;40;94.0
64;Dans QP+200-300m;166;65.0;26;92.0
64;Dans QP+200-300m;136;78.0;27;96.0
66;Dans QP+200m    ;132;86.0;23;93.0
66;Dans QP+200m    ;143;89.0;15;94.0
69;Dans QP+200m    ;129;63.0;16;96.0
69;Dans QP+200m    ;133;85.0;22;94.0
80;Hors QP         ;121;89.0;15;95.0
80;Hors QP         ;139;86.0;22;93.0
40;Dans QP+200m    ;84;90.0;11;96.0
40;Dans QP+200m    ;92;77.0;10;99.0
53;Dans QP+200m    ;82;93.0;26;87.0
53;Dans QP+200m    ;78;88.0;24;86.0
57;Dans QP+200m    ;120;80.0;21;
57;Dans QP+200m    ;111;78.0;17;93.0
64;Hors QP         ;141;88.0;23;93.0
64;Hors QP         ;185;89.0;35;93.0
78;Hors QP         ;116;94.0;27;95.0
78;Hors QP         ;160;77.0;18;94.0
38;Dans QP+200m    ;121;88.0;28;93.0
38;Dans QP+200m    ;94;82.0;13;90.0
41;Dans QP+200-300m;86;77.0;29;87.0
41;Dans QP+200-300m;87;75.0;30;91.0
56;Dans QP+200m    ;96;86.0;37;86.0
56;Dans QP+200m    ;90;81.0;21;86.0
58;Dans QP+200m    ;87;83.0;23;89.0
58;Dans QP+200m    ;96;74.0;25;90.0
47;Hors QP         ;118;75.0;18;88.0
47;Hors QP         ;109;68.0;19;86.0
40;Dans QP+200m    ;84;69.0;13;86.0
40;Dans QP+200m    ;84;85.0;15;91.0
42;Dans QP         ;85;76.0;22;94.0
42;Dans QP         ;90;87.0;25;85.0
44;Dans QP         ;80;90.0;22;87.0
44;Dans QP         ;80;78.0;13;88.0
55;Hors QP         ;79;85.0;28;87.0
55;Hors QP         ;81;84.0;27;84.0
81;Dans QP+200-300m;124;82.0;48;91.0
81;Dans QP+200-300m;128;95.0;51;90.0
117;Dans QP+200-300m;196;91.0;35;93.0
117;Dans QP+200-300m;188;88.0;41;94.0
83;Dans QP+200m    ;122;92.0;27;91.0
83;Dans QP+200m    ;147;84.0;21;84.0
53;Dans QP+200m    ;83;96.0;24;90.0
53;Dans QP+200m    ;97;88.0;23;92.0
90;Dans QP+200m    ;125;77.0;15;92.0
90;Dans QP+200m    ;177;76.0;21;93.0
86;Dans QP+200m    ;155;90.0;22;95.0
86;Dans QP+200m    ;155;81.0;11;96.0
89;Dans QP         ;149;83.0;17;87.0
89;Dans QP         ;133;77.0;11;92.0
88;Dans QP+200m    ;134;88.0;25;91.0
88;Dans QP+200m    ;152;78.0;9;91.0
55;Dans QP+200-300m;146;77.0;27;98.0
55;Dans QP+200-300m;145;86.0;31;92.0
93;Dans QP+200m    ;171;82.0;30;89.0
93;Dans QP+200m    ;183;83.0;38;90.0
80;Dans QP+200m    ;170;91.0;27;92.0
80;Dans QP+200m    ;164;81.0;27;94.0
84;Dans QP+200m    ;118;81.0;18;88.0
84;Dans QP+200m    ;159;79.0;32;89.0
68;Hors QP         ;160;86.0;36;85.0
68;Hors QP         ;129;63.0;19;91.0
82;Dans QP         ;141;82.0;19;93.0
82;Dans QP         ;167;78.0;27;89.0
56;Dans QP+200m    ;120;80.0;32;94.0
56;Dans QP+200m    ;115;90.0;46;86.0
76;Dans QP+200-300m;173;90.0;25;92.0
76;Dans QP+200-300m;183;79.0;18;92.0
52;Hors QP         ;123;90.0;23;89.0
52;Hors QP         ;119;87.0;21;91.0
44;Dans QP+200-300m;100;83.0;20;94.0
44;Dans QP+200-300m;103;86.0;8;93.0
94;Dans QP         ;195;84.0;21;94.0
94;Dans QP         ;186;77.0;13;95.0
42;Dans QP+200m    ;114;80.0;24;91.0
42;Dans QP+200m    ;103;89.0;27;88.0
48;Dans QP         ;85;81.0;14;84.0
48;Dans QP         ;85;96.0;17;90.0
92;Dans QP+200-300m;140;88.0;17;95.0
92;Dans QP+200-300m;132;90.0;19;94.0
67;Dans QP+200m    ;96;70.0;7;88.0
67;Dans QP+200m    ;113;76.0;10;87.0
113;Hors QP         ;178;74.0;26;89.0
113;Hors QP         ;194;74.0;34;89.0
69;Dans QP         ;122;78.0;19;90.0
69;Dans QP         ;111;78.0;23;93.0
62;Hors QP         ;107;79.0;20;94.0
62;Hors QP         ;104;79.0;21;94.0
111;Dans QP         ;173;83.0;20;91.0
111;Dans QP         ;182;90.0;52;92.0
107;Hors QP         ;188;89.0;51;93.0
107;Hors QP         ;172;83.0;27;88.0
60;Hors QP         ;142;77.0;25;85.0
60;Hors QP         ;143;74.0;33;83.0
42;Hors QP         ;65;89.0;12;91.0
42;Hors QP         ;65;88.0;11;86.0
97;Hors QP         ;176;85.0;51;88.0
97;Hors QP         ;147;82.0;56;91.0
28;Hors QP         ;48;92.0;4;92.0
28;Hors QP         ;45;96.0;8;98.0
44;Hors QP         ;91;84.0;5;87.0
44;Hors QP         ;92;90.0;16;83.0
13;Hors QP         ;46;98.0;4;97.0
43;Hors QP         ;79;89.0;10;82.0
43;Hors QP         ;77;88.0;5;87.0
30;Dans QP         ;44;95.0;7;95.0
30;Dans QP         ;62;84.0;12;90.0
30;Dans QP+200m    ;52;88.0;7;90.0
30;Dans QP+200m    ;59;78.0;4;91.0
65;Hors QP         ;130;88.0;17;89.0
65;Hors QP         ;138;89.0;17;90.0
173;Hors QP         ;289;70.0;7;95.0
173;Hors QP         ;252;60.0;12;94.0
194;Hors QP         ;398;58.0;18;94.0
194;Hors QP         ;400;65.0;50;95.0
216;Hors QP         ;314;74.0;18;96.0
216;Hors QP         ;399;69.0;13;95.0
211;Hors QP         ;267;80.0;14;96.0
211;Hors QP         ;355;74.0;15;96.0
164;Dans QP         ;230;67.0;9;95.0
164;Dans QP         ;290;65.0;8;94.0
191;Hors QP         ;325;68.0;10;89.0
191;Hors QP         ;304;64.0;31;95.0
22;Hors QP         ;33;94.0;3;89.0
22;Hors QP         ;33;88.0;7;98.0
20;Dans QP+200m    ;53;75.0;6;89.0
20;Dans QP+200m    ;53;75.0;1;90.0
41;Dans QP+200m    ;79;89.0;19;94.0
41;Dans QP+200m    ;64;97.0;21;81.0
59;Dans QP+200m    ;70;93.0;17;85.0
59;Dans QP+200m    ;68;79.0;18;83.0
55;Dans QP+200m    ;87;90.0;24;93.0
55;Dans QP+200m    ;65;89.0;13;87.0
18;Hors QP         ;47;87.0;3;94.0
18;Hors QP         ;33;73.0;5;95.0
83;Dans QP+200m    ;139;75.0;28;85.0
83;Dans QP+200m    ;127;82.0;35;95.0
46;Dans QP+200m    ;90;89.0;28;89.0
46;Dans QP+200m    ;78;96.0;26;86.0
59;Dans QP+200m    ;131;95.0;47;92.0
59;Dans QP+200m    ;102;88.0;28;93.0
39;Hors QP         ;79;85.0;12;91.0
39;Hors QP         ;59;73.0;17;83.0
41;Hors QP         ;57;70.0;9;90.0
41;Hors QP         ;87;87.0;13;93.0
31;Dans QP+200m    ;57;74.0;11;94.0
31;Dans QP+200m    ;41;85.0;8;93.0
53;Dans QP+200m    ;88;82.0;9;80.0
53;Dans QP+200m    ;106;73.0;10;78.0
51;Dans QP+200-300m;57;81.0;7;91.0
51;Dans QP+200-300m;83;66.0;17;85.0
33;Dans QP         ;62;79.0;2;85.0
33;Dans QP         ;65;65.0;8;85.0
37;Dans QP+200m    ;65;72.0;5;76.0
37;Dans QP+200m    ;65;69.0;4;80.0
44;Dans QP+200-300m;104;93.0;25;94.0
44;Dans QP+200-300m;107;93.0;32;87.0
39;Dans QP         ;62;90.0;26;91.0
39;Dans QP         ;84;92.0;25;93.0
22;Hors QP         ;40;100.0;9;89.0
