_3eme_filles;qp_a_proximite_o_n;nb_candidats_g;taux_de_reussite_g;nb_mentions_tb_g;taux_d_acces_6eme_3eme
28;Hors QP         ;74;76.0;12;90.0
28;Hors QP         ;66;76.0;11;88.0
56;Dans QP         ;86;69.0;4;86.0
56;Dans QP         ;80;74.0;10;88.0
47;Dans QP+200m    ;76;95.0;24;90.0
47;Dans QP+200m    ;94;81.0;26;90.0
35;Hors QP         ;45;84.0;7;96.0
35;Hors QP         ;60;85.0;15;93.0
61;Hors QP         ;106;77.0;15;87.0
61;Hors QP         ;91;81.0;17;90.0
76;Dans QP         ;127;91.0;30;95.0
76;Dans QP         ;163;86.0;54;97.0
63;Dans QP+200m    ;116;78.0;36;84.0
63;Dans QP+200m    ;123;78.0;15;90.0
43;Hors QP         ;64;92.0;13;79.0
43;Hors QP         ;73;79.0;5;80.0
75;Hors QP         ;130;88.0;36;96.0
75;Hors QP         ;98;87.0;25;99.0
79;Hors QP         ;95;92.0;30;91.0
79;Hors QP         ;95;88.0;17;94.0
12;Dans QP+200m    ;32;88.0;10;86.0
75;Hors QP         ;104;76.0;25;83.0
75;Hors QP         ;131;78.0;24;83.0
31;Dans QP         ;55;69.0;5;83.0
31;Dans QP         ;72;82.0;7;97.0
51;Hors QP         ;105;83.0;12;87.0
51;Hors QP         ;78;78.0;5;81.0
31;Hors QP         ;67;78.0;5;84.0
31;Hors QP         ;74;78.0;5;83.0
90;Dans QP+200m    ;220;90.0;46;94.0
90;Dans QP+200m    ;230;90.0;64;92.0
47;Hors QP         ;43;86.0;1;75.0
47;Hors QP         ;76;68.0;11;78.0
42;Dans QP         ;81;74.0;10;86.0
42;Dans QP         ;56;75.0;13;94.0
24;Hors QP         ;67;88.0;13;87.0
24;Hors QP         ;65;82.0;14;91.0
41;Dans QP+200m    ;49;63.0;5;85.0
41;Dans QP+200m    ;57;54.0;4;87.0
50;Hors QP         ;99;79.0;10;94.0
50;Hors QP         ;115;73.0;20;91.0
63;Dans QP+200m    ;110;77.0;26;93.0
63;Dans QP+200m    ;124;77.0;33;91.0
46;Hors QP         ;96;71.0;9;93.0
46;Hors QP         ;91;82.0;20;90.0
35;Dans QP+200m    ;80;86.0;20;94.0
35;Dans QP+200m    ;90;91.0;27;86.0
50;Dans QP+200m    ;132;81.0;15;80.0
50;Dans QP+200m    ;133;80.0;10;82.0
21;Dans QP+200m    ;51;75.0;5;91.0
21;Dans QP+200m    ;52;73.0;5;91.0
30;Hors QP         ;76;76.0;5;83.0
30;Hors QP         ;73;93.0;21;81.0
38;Dans QP+200m    ;74;74.0;7;91.0
38;Dans QP+200m    ;63;84.0;3;89.0
53;Hors QP         ;103;84.0;22;94.0
53;Hors QP         ;103;90.0;23;94.0
58;Hors QP         ;50;96.0;2;91.0
58;Hors QP         ;73;85.0;8;91.0
65;Dans QP+200m    ;107;93.0;28;89.0
65;Dans QP+200m    ;103;91.0;34;86.0
63;Dans QP+200m    ;93;86.0;19;91.0
63;Dans QP+200m    ;109;76.0;19;93.0
53;Dans QP+200-300m;104;80.0;15;88.0
53;Dans QP+200-300m;101;92.0;18;89.0
32;Hors QP         ;66;79.0;12;95.0
32;Hors QP         ;78;90.0;16;93.0
87;Dans QP+200-300m;124;89.0;25;93.0
87;Dans QP+200-300m;144;88.0;37;90.0
44;Hors QP         ;83;93.0;27;92.0
44;Hors QP         ;77;97.0;21;94.0
68;Hors QP         ;154;88.0;17;94.0
68;Hors QP         ;126;79.0;23;94.0
39;Dans QP+200m    ;89;90.0;16;91.0
39;Dans QP+200m    ;70;87.0;14;97.0
57;Hors QP         ;122;84.0;12;94.0
57;Hors QP         ;109;88.0;15;94.0
46;Dans QP+200m    ;96;93.0;20;88.0
46;Dans QP+200m    ;74;95.0;8;86.0
55;Dans QP+200m    ;144;88.0;23;82.0
55;Dans QP+200m    ;153;86.0;20;92.0
30;Dans QP+200m    ;73;85.0;15;90.0
30;Dans QP+200m    ;83;90.0;15;91.0
95;Dans QP+200m    ;118;64.0;16;93.0
95;Dans QP+200m    ;107;87.0;19;92.0
76;Dans QP+200m    ;111;73.0;13;92.0
76;Dans QP+200m    ;146;63.0;14;90.0
89;Dans QP         ;152;93.0;21;91.0
89;Dans QP         ;150;89.0;33;90.0
78;Dans QP+200m    ;134;87.0;12;91.0
78;Dans QP+200m    ;150;87.0;29;92.0
89;Dans QP+200m    ;135;80.0;13;88.0
89;Dans QP+200m    ;160;76.0;17;94.0
70;Hors QP         ;133;82.0;27;90.0
70;Hors QP         ;123;90.0;27;90.0
85;Dans QP         ;187;82.0;22;92.0
85;Dans QP         ;169;79.0;22;90.0
90;Dans QP+200m    ;126;81.0;25;87.0
90;Dans QP+200m    ;112;89.0;30;96.0
91;Dans QP+200-300m;151;70.0;13;92.0
91;Dans QP+200-300m;155;83.0;18;91.0
88;Hors QP         ;154;80.0;29;92.0
88;Hors QP         ;152;80.0;15;90.0
48;Dans QP         ;79;91.0;8;83.0
48;Dans QP         ;107;79.0;9;93.0
59;Dans QP+200m    ;120;88.0;31;86.0
59;Dans QP+200m    ;107;92.0;37;91.0
57;Dans QP         ;105;86.0;19;88.0
57;Dans QP         ;132;76.0;19;85.0
93;Dans QP         ;160;81.0;26;86.0
93;Dans QP         ;161;87.0;29;92.0
80;Dans QP+200-300m;162;90.0;38;94.0
80;Dans QP+200-300m;173;94.0;70;93.0
68;Dans QP         ;128;61.0;14;96.0
68;Dans QP         ;131;80.0;22;89.0
39;Dans QP+200m    ;78;85.0;7;88.0
39;Dans QP+200m    ;87;83.0;9;90.0
67;Dans QP+200m    ;108;83.0;14;87.0
67;Dans QP+200m    ;109;90.0;18;89.0
83;Dans QP+200m    ;155;65.0;17;87.0
83;Dans QP+200m    ;152;74.0;10;89.0
83;Hors QP         ;151;79.0;19;93.0
83;Hors QP         ;179;85.0;14;93.0
96;Dans QP+200-300m;169;83.0;40;89.0
96;Dans QP+200-300m;196;84.0;46;88.0
61;Dans QP+200m    ;108;89.0;22;94.0
61;Dans QP+200m    ;116;90.0;22;95.0
76;Hors QP         ;109;89.0;13;94.0
76;Hors QP         ;109;79.0;14;91.0
23;Hors QP         ;57;77.0;10;90.0
23;Hors QP         ;62;76.0;9;92.0
52;Hors QP         ;141;74.0;21;90.0
52;Hors QP         ;143;84.0;29;91.0
68;Dans QP+200m    ;111;86.0;39;90.0
68;Dans QP+200m    ;107;81.0;18;87.0
85;Dans QP+200-300m;151;89.0;29;95.0
85;Dans QP+200-300m;170;77.0;41;90.0
51;Dans QP+200-300m;106;90.0;50;90.0
51;Dans QP+200-300m;111;93.0;49;89.0
93;Dans QP+200m    ;164;88.0;44;87.0
46;Hors QP         ;90;70.0;18;84.0
46;Hors QP         ;86;80.0;17;79.0
58;Dans QP+200m    ;115;78.0;30;89.0
58;Dans QP+200m    ;100;93.0;30;93.0
62;Dans QP+200m    ;105;85.0;20;84.0
62;Dans QP+200m    ;134;78.0;18;88.0
44;Dans QP         ;80;79.0;18;85.0
44;Dans QP         ;79;82.0;15;86.0
84;Dans QP         ;165;90.0;22;92.0
84;Dans QP         ;173;92.0;15;92.0
78;Dans QP         ;99;81.0;20;87.0
78;Dans QP         ;103;66.0;8;88.0
64;Dans QP+200m    ;134;86.0;18;96.0
64;Dans QP+200m    ;138;83.0;28;92.0
107;Dans QP+200m    ;182;82.0;34;91.0
107;Dans QP+200m    ;190;86.0;34;90.0
73;Dans QP+200-300m;129;91.0;30;94.0
73;Dans QP+200-300m;127;82.0;24;94.0
82;Dans QP+200m    ;147;85.0;16;90.0
82;Dans QP+200m    ;156;81.0;13;92.0
98;Dans QP+200m    ;166;94.0;37;93.0
98;Dans QP+200m    ;182;89.0;33;91.0
40;Dans QP+200m    ;106;92.0;15;88.0
40;Dans QP+200m    ;84;74.0;11;93.0
75;Dans QP+200m    ;159;88.0;26;83.0
75;Dans QP+200m    ;142;82.0;29;89.0
103;Dans QP+200m    ;169;85.0;47;96.0
103;Dans QP+200m    ;176;88.0;41;94.0
54;Hors QP         ;133;91.0;18;87.0
54;Hors QP         ;116;86.0;22;93.0
36;Dans QP+200m    ;84;83.0;19;88.0
36;Dans QP+200m    ;92;90.0;15;80.0
49;Dans QP+200m    ;150;83.0;27;91.0
49;Dans QP+200m    ;143;80.0;20;92.0
61;Dans QP+200-300m;110;81.0;27;94.0
61;Dans QP+200-300m;107;73.0;20;91.0
75;Hors QP         ;173;87.0;30;93.0
75;Hors QP         ;183;91.0;45;95.0
93;Dans QP+200m    ;166;76.0;17;94.0
93;Dans QP+200m    ;171;83.0;24;91.0
49;Dans QP+200-300m;131;85.0;28;91.0
49;Dans QP+200-300m;117;77.0;16;87.0
67;Dans QP+200m    ;157;80.0;35;92.0
67;Dans QP+200m    ;132;83.0;32;87.0
74;Dans QP+200m    ;113;80.0;20;96.0
74;Dans QP+200m    ;113;84.0;20;93.0
84;Dans QP+200-300m;143;80.0;27;90.0
84;Dans QP+200-300m;173;90.0;41;90.0
73;Dans QP         ;143;70.0;8;90.0
73;Dans QP         ;134;83.0;14;90.0
52;Dans QP         ;81;84.0;11;85.0
52;Dans QP         ;78;81.0;8;95.0
52;Dans QP+200m    ;139;84.0;20;91.0
52;Dans QP+200m    ;117;85.0;19;94.0
42;Dans QP+200m    ;82;89.0;14;91.0
42;Dans QP+200m    ;97;79.0;10;92.0
67;Dans QP+200m    ;125;88.0;25;95.0
67;Dans QP+200m    ;131;82.0;29;88.0
44;Dans QP+200m    ;102;81.0;16;90.0
44;Dans QP+200m    ;121;86.0;22;88.0
58;Dans QP+200m    ;97;92.0;32;93.0
58;Dans QP+200m    ;104;94.0;34;91.0
63;Dans QP+200-300m;164;80.0;15;93.0
63;Dans QP+200-300m;153;72.0;11;91.0
60;Hors QP         ;127;74.0;19;83.0
60;Hors QP         ;113;88.0;23;84.0
58;Hors QP         ;95;75.0;13;94.0
58;Hors QP         ;99;72.0;19;96.0
48;Hors QP         ;79;80.0;10;93.0
48;Hors QP         ;93;83.0;18;96.0
71;Dans QP+200m    ;90;88.0;27;93.0
71;Dans QP+200m    ;108;90.0;25;96.0
86;Dans QP+200m    ;140;81.0;25;86.0
86;Dans QP+200m    ;137;73.0;28;90.0
120;Dans QP         ;209;83.0;37;94.0
120;Dans QP         ;188;76.0;38;93.0
113;Hors QP         ;179;83.0;37;84.0
113;Hors QP         ;186;82.0;40;88.0
61;Hors QP         ;69;86.0;19;89.0
61;Hors QP         ;74;89.0;8;91.0
79;Dans QP+200m    ;159;82.0;33;92.0
79;Dans QP+200m    ;148;84.0;37;95.0
113;Dans QP+200m    ;196;83.0;48;91.0
113;Dans QP+200m    ;152;92.0;39;91.0
50;Hors QP         ;69;93.0;6;89.0
50;Hors QP         ;82;72.0;5;89.0
55;Hors QP         ;64;94.0;22;93.0
55;Hors QP         ;98;90.0;8;95.0
87;;155;66.0;5;95.0
87;;118;86.0;15;92.0
64;Hors QP         ;190;80.0;27;92.0
64;Hors QP         ;177;55.0;8;95.0
233;Hors QP         ;355;77.0;23;95.0
233;Hors QP         ;272;83.0;13;94.0
230;Hors QP         ;392;63.0;25;95.0
230;Hors QP         ;451;58.0;21;93.0
166;Hors QP         ;335;59.0;16;96.0
166;Hors QP         ;390;57.0;16;94.0
36;Dans QP+200m    ;63;70.0;12;90.0
36;Dans QP+200m    ;57;86.0;10;92.0
43;Dans QP         ;64;80.0;11;82.0
43;Dans QP         ;60;93.0;12;88.0
43;Hors QP         ;75;93.0;11;94.0
43;Hors QP         ;81;91.0;20;90.0
57;Hors QP         ;68;88.0;19;95.0
57;Hors QP         ;70;79.0;15;86.0
50;Dans QP         ;83;87.0;13;86.0
50;Dans QP         ;116;89.0;27;89.0
77;Hors QP         ;96;90.0;18;93.0
77;Hors QP         ;119;83.0;18;95.0
64;Dans QP+200m    ;112;77.0;16;93.0
64;Dans QP+200m    ;107;86.0;24;91.0
48;Dans QP         ;70;76.0;10;91.0
48;Dans QP         ;79;81.0;18;91.0
37;Hors QP         ;84;92.0;14;85.0
37;Hors QP         ;88;76.0;13;85.0
24;Dans QP+200m    ;40;88.0;9;92.0
24;Dans QP+200m    ;40;72.0;4;82.0
53;Hors QP         ;76;82.0;10;91.0
53;Hors QP         ;68;91.0;14;91.0
56;Hors QP         ;103;69.0;20;87.0
56;Hors QP         ;85;68.0;13;93.0
55;Dans QP+200m    ;97;79.0;21;89.0
55;Dans QP+200m    ;96;77.0;27;90.0
80;Dans QP+200m    ;128;79.0;29;93.0
80;Dans QP+200m    ;100;92.0;21;92.0
58;Dans QP+200m    ;95;86.0;16;86.0
58;Dans QP+200m    ;115;95.0;17;89.0
20;Hors QP         ;30;93.0;12;93.0
20;Hors QP         ;42;69.0;7;94.0
57;Dans QP+200-300m;115;83.0;40;92.0
57;Dans QP+200-300m;134;90.0;48;94.0
55;Dans QP+200m    ;135;90.0;50;91.0
55;Dans QP+200m    ;100;88.0;30;81.0
7;Hors QP         ;30;80.0;7;78.0
37;Dans QP+200m    ;68;91.0;16;76.0
37;Dans QP+200m    ;65;78.0;12;78.0
61;Hors QP         ;99;91.0;33;86.0
61;Hors QP         ;138;84.0;45;86.0
86;Dans QP+200m    ;166;82.0;35;91.0
86;Dans QP+200m    ;153;88.0;35;92.0
24;Dans QP         ;43;65.0;6;89.0
24;Dans QP         ;37;54.0;2;75.0
80;Dans QP+200-300m;138;79.0;27;96.0
80;Dans QP+200-300m;147;78.0;40;90.0
23;Hors QP         ;44;89.0;11;93.0
68;Dans QP+200m    ;115;87.0;38;92.0
68;Dans QP+200m    ;130;85.0;46;87.0
70;Dans QP         ;129;79.0;29;93.0
70;Dans QP         ;128;88.0;45;84.0
93;Dans QP+200m    ;141;79.0;24;92.0
93;Dans QP+200m    ;160;74.0;15;96.0
95;Dans QP+200-300m;138;72.0;20;85.0
95;Dans QP+200-300m;150;81.0;41;87.0
67;Dans QP+200-300m;93;84.0;17;89.0
67;Dans QP+200-300m;109;86.0;34;87.0
50;Dans QP+200m    ;127;90.0;39;88.0
50;Dans QP+200m    ;113;96.0;23;89.0
72;Dans QP+200-300m;119;89.0;40;92.0
72;Dans QP+200-300m;119;91.0;40;98.0
61;Hors QP         ;118;70.0;19;85.0
61;Hors QP         ;111;60.0;5;89.0
69;Dans QP+200-300m;95;84.0;22;93.0
69;Dans QP+200-300m;105;87.0;42;87.0
51;Dans QP         ;96;84.0;17;82.0
51;Dans QP         ;80;76.0;16;89.0
78;Dans QP+200m    ;129;74.0;27;83.0
78;Dans QP+200m    ;127;75.0;28;87.0
74;Dans QP+200-300m;122;68.0;15;84.0
74;Dans QP+200-300m;144;72.0;17;85.0
78;Dans QP+200m    ;119;75.0;23;86.0
78;Dans QP+200m    ;86;88.0;19;82.0
69;Dans QP         ;127;86.0;25;86.0
69;Dans QP         ;132;77.0;30;87.0
65;Dans QP+200m    ;139;86.0;43;83.0
65;Dans QP+200m    ;156;87.0;42;77.0
79;Dans QP         ;159;69.0;9;82.0
79;Dans QP         ;151;76.0;26;87.0
76;Dans QP+200m    ;173;86.0;36;91.0
76;Dans QP+200m    ;175;79.0;28;82.0
65;Dans QP         ;99;67.0;11;85.0
65;Dans QP         ;112;82.0;16;90.0
44;Dans QP+200m    ;116;83.0;20;83.0
44;Dans QP+200m    ;87;87.0;12;89.0
57;Dans QP+200m    ;99;88.0;30;94.0
57;Dans QP+200m    ;104;85.0;19;88.0
85;Dans QP         ;153;89.0;57;89.0
85;Dans QP         ;151;83.0;34;82.0
49;Dans QP+200m    ;90;81.0;14;82.0
49;Dans QP+200m    ;94;84.0;17;87.0
69;Hors QP         ;143;81.0;18;84.0
69;Hors QP         ;132;76.0;20;89.0
39;Hors QP         ;50;82.0;9;93.0
39;Hors QP         ;60;85.0;11;90.0
64;Dans QP+200m    ;140;92.0;48;91.0
64;Dans QP+200m    ;136;82.0;36;94.0
70;Dans QP+200m    ;174;89.0;40;92.0
70;Dans QP+200m    ;162;86.0;30;89.0
54;Hors QP         ;161;76.0;28;89.0
54;Hors QP         ;158;78.0;26;82.0
68;Dans QP+200-300m;105;68.0;21;86.0
68;Dans QP+200-300m;119;81.0;11;88.0
42;Hors QP         ;58;84.0;6;92.0
42;Hors QP         ;81;93.0;13;88.0
99;Dans QP+200-300m;189;97.0;88;93.0
99;Dans QP+200-300m;163;92.0;47;86.0
53;Dans QP+200m    ;82;78.0;20;85.0
53;Dans QP+200m    ;82;74.0;20;74.0
56;Dans QP+200m    ;107;70.0;19;78.0
56;Dans QP+200m    ;98;68.0;11;81.0
32;Dans QP         ;65;71.0;10;89.0
32;Dans QP         ;49;61.0;3;83.0
40;Dans QP+200-300m;84;69.0;18;81.0
40;Dans QP+200-300m;105;76.0;19;78.0
82;Dans QP+200-300m;136;90.0;50;93.0
82;Dans QP+200-300m;143;93.0;58;92.0
53;Dans QP         ;105;86.0;21;89.0
53;Dans QP         ;101;79.0;20;82.0
90;Dans QP         ;145;78.0;36;86.0
90;Dans QP         ;127;87.0;35;85.0
33;Dans QP         ;42;71.0;3;82.0
33;Dans QP         ;46;87.0;5;76.0
73;Dans QP         ;135;76.0;37;92.0
73;Dans QP         ;148;76.0;30;88.0
49;Hors QP         ;52;81.0;13;87.0
49;Hors QP         ;74;81.0;10;86.0
19;Dans QP         ;35;69.0;4;79.0
19;Dans QP         ;44;80.0;7;89.0
35;Dans QP+200m    ;55;85.0;2;80.0
35;Dans QP+200m    ;76;79.0;14;82.0
